generation,best_fitness,mean_fitness
0,1.794751377409127,0.08611299728389259
1,1.9033035009839894,0.4282391826464344
2,1.9033035009839894,0.933765043672313
3,2.064152126584197,1.283282154395021
4,2.064152126584197,1.0049297711415535
5,2.064152126584197,1.2121233389205026
6,2.064152126584197,1.195269043954332
7,2.207862873396447,1.1719766847456257
8,2.207862873396447,1.066278536123987
9,2.207862873396447,1.2506094209686691
10,2.207862873396447,1.3404920642210005
11,2.22293097778342,1.3671504379717232
12,2.22293097778342,1.837625023213885
13,2.22293097778342,1.3694353136236224
14,2.443934983051155,1.9368207725095248
15,2.74837081812628,1.6179522952347578
16,2.74837081812628,1.9129692839649741
17,2.74837081812628,1.927091926266019
18,2.74837081812628,2.2470819533551154
19,2.74837081812628,1.9865684857245607
20,2.74837081812628,2.215131446293275
21,3.1857938400035977,2.33711605604697
22,3.1857938400035977,2.3307924987122086
23,3.1857938400035977,2.6075526699123297
24,3.1857938400035977,2.3104378657930145
25,3.1857938400035977,2.354467098969114
26,3.1857938400035977,2.570495083505491
27,3.297277876579387,2.446252741179566
28,3.3093583987999966,1.8411937181741822
29,3.3093583987999966,2.1758282604598613
